Date,Open,High,Low,Close,Volume,Adj Close
2014-12-12,36.26,36.26,36.26,36.26,000,36.0881
2014-12-11,36.28,37.18,35.27,36.26,2804200,36.0881
2014-12-10,36.99,36.99,35.19,35.60,2010300,35.4312
2014-12-09,37.37,37.37,36.36,36.60,1613400,36.4265
2014-12-08,37.67,37.78,37.07,37.64,1222800,37.4615
2014-12-05,37.81,38.08,37.44,37.72,1125000,37.5412
2014-12-04,38.09,38.25,37.53,37.81,2005200,37.6307
2014-12-03,38.13,39.00,37.29,38.20,1694700,38.0189
2014-12-02,38.41,39.05,38.00,38.19,1739600,38.0089
2014-12-01,39.35,39.66,38.44,38.65,2701700,38.4668
2014-11-28,39.04,39.35,38.84,39.11,1021600,38.9246
2014-11-27,39.28,39.48,38.82,39.24,285000,39.054
2014-11-26,38.61,39.48,38.59,39.15,919000,38.9644
2014-11-25,38.46,39.48,38.45,39.28,2697900,39.0938
2014-11-24,39.42,39.42,38.19,38.35,2327300,38.1682
2014-11-21,38.84,39.62,38.84,39.42,2433100,39.2331
2014-11-20,38.99,39.20,38.56,39.03,1266500,38.845
2014-11-19,37.20,39.35,37.20,39.19,1335200,39.0042
2014-11-18,37.82,37.99,37.16,37.29,1133500,37.1132
2014-11-17,38.01,38.01,38.01,38.01,000,37.8298
2014-11-14,38.13,38.44,37.80,38.01,1411200,37.8298
2014-11-13,38.64,38.64,37.80,37.94,2108300,37.7601
2014-11-12,38.72,39.03,38.12,38.36,1915500,38.1781
2014-11-11,38.87,39.20,38.76,38.81,534100,38.626
2014-11-10,39.13,39.42,38.80,38.86,596900,38.6758
2014-11-07,39.25,39.70,38.81,38.88,679500,38.6957
2014-11-06,39.46,40.00,39.20,39.48,887600,39.2928
2014-11-05,38.78,39.99,38.76,39.81,1094700,39.6213
2014-11-04,39.40,39.50,38.54,38.76,1442700,38.5762
2014-11-03,39.35,39.88,39.35,39.60,970900,39.4122
2014-10-31,40.20,40.32,39.23,39.39,3633600,39.2032
2014-10-30,40.04,40.37,39.67,39.89,1666500,39.7009
2014-10-29,39.65,40.38,39.64,40.18,1708500,39.9895
2014-10-28,39.75,40.20,39.51,39.94,1273700,39.7506
2014-10-27,40.08,40.25,39.60,39.95,690700,39.7606
2014-10-24,40.30,40.55,39.50,40.28,1112700,40.089
2014-10-23,39.04,40.22,39.04,40.12,1173500,39.9298
2014-10-22,38.94,39.40,38.94,39.24,2061600,39.054
2014-10-21,38.82,39.40,38.71,38.94,2269700,38.7554
2014-10-20,39.33,39.85,38.42,38.56,1699000,38.3772
2014-10-17,39.05,39.85,38.81,39.45,1958800,39.263
2014-10-16,38.92,39.49,38.16,39.17,1201100,38.9843
2014-10-15,38.41,39.25,38.26,39.12,1201900,38.9345
2014-10-14,39.09,39.19,38.47,38.60,1142400,38.417
2014-10-13,38.98,39.25,38.28,38.67,1225700,38.4867
2014-10-10,39.33,39.40,38.60,38.79,848700,38.6061
2014-10-09,39.42,39.60,38.77,39.33,1030800,39.1435
2014-10-08,38.75,39.70,38.52,39.21,1457300,39.0241
2014-10-07,39.30,39.30,38.50,38.75,1684500,38.5663
2014-10-06,39.05,40.20,38.85,38.95,1441200,38.7653
2014-10-03,39.05,39.30,38.80,39.24,1207300,39.054
